yy;mm;banda;SiteID;Tmax;Elevation;x;y
1986;1;26;aeronautica_6889;15.861290322580645;11.63696575164795;963.8591323894682;4116.833687641667
1987;1;27;aeronautica_6889;15.716129032258065;11.63696575164795;963.8591323894682;4116.833687641667
1988;1;28;aeronautica_6889;17.286206896551725;11.63696575164795;963.8591323894682;4116.833687641667
1989;1;29;aeronautica_6889;16.05483870967742;11.63696575164795;963.8591323894682;4116.833687641667
1990;1;30;aeronautica_6889;17.564516129032256;11.63696575164795;963.8591323894682;4116.833687641667
1991;1;31;aeronautica_6889;16.490322580645163;11.63696575164795;963.8591323894682;4116.833687641667
1992;1;32;aeronautica_6889;16.751612903225805;11.63696575164795;963.8591323894682;4116.833687641667
1993;1;33;aeronautica_6889;16.23548387096774;11.63696575164795;963.8591323894682;4116.833687641667
1994;1;34;aeronautica_6889;16.148387096774194;11.63696575164795;963.8591323894682;4116.833687641667
1995;1;35;aeronautica_6889;14.806451612903226;11.63696575164795;963.8591323894682;4116.833687641667
1996;1;36;aeronautica_6889;16;11.63696575164795;963.8591323894682;4116.833687641667
1997;1;37;aeronautica_6889;17.338709677419356;11.63696575164795;963.8591323894682;4116.833687641667
1998;1;38;aeronautica_6889;16.219354838709677;11.63696575164795;963.8591323894682;4116.833687641667
1999;1;39;aeronautica_6889;15.184615384615384;11.63696575164795;963.8591323894682;4116.833687641667
2000;1;40;aeronautica_6889;14.625;11.63696575164795;963.8591323894682;4116.833687641667
2001;1;41;aeronautica_6889;16.870967741935484;11.63696575164795;963.8591323894682;4116.833687641667
2002;1;42;aeronautica_6889;14.799999999999999;11.63696575164795;963.8591323894682;4116.833687641667
2003;1;43;aeronautica_6889;15.8;11.63696575164795;963.8591323894682;4116.833687641667
2004;1;44;aeronautica_6889;15.796774193548387;11.63696575164795;963.8591323894682;4116.833687641667
2005;1;45;aeronautica_6889;14.95483870967742;11.63696575164795;963.8591323894682;4116.833687641667
2006;1;46;aeronautica_6889;14.312903225806451;11.63696575164795;963.8591323894682;4116.833687641667
2007;1;47;aeronautica_6889;16.72258064516129;11.63696575164795;963.8591323894682;4116.833687641667
2008;1;48;aeronautica_6889;16.916129032258066;11.63696575164795;963.8591323894682;4116.833687641667
2009;1;49;aeronautica_6889;NA;11.63696575164795;963.8591323894682;4116.833687641667
2010;1;50;aeronautica_6889;15.7;11.63696575164795;963.8591323894682;4116.833687641667
2011;1;51;aeronautica_6889;15.254838709677419;11.63696575164795;963.8591323894682;4116.833687641667
2012;1;52;aeronautica_6889;15.209677419354838;11.63696575164795;963.8591323894682;4116.833687641667
2013;1;53;aeronautica_6889;16.212903225806453;11.63696575164795;963.8591323894682;4116.833687641667
2014;1;54;aeronautica_6889;16.219354838709677;11.63696575164795;963.8591323894682;4116.833687641667
2015;1;55;aeronautica_6889;15.548387096774194;11.63696575164795;963.8591323894682;4116.833687641667
2016;1;56;aeronautica_6889;16.60322580645161;11.63696575164795;963.8591323894682;4116.833687641667
2017;1;57;aeronautica_6889;14.372;11.63696575164795;963.8591323894682;4116.833687641667
2018;1;58;aeronautica_6889;15.968;11.63696575164795;963.8591323894682;4116.833687641667
2019;1;59;aeronautica_6889;13.064516129032258;11.63696575164795;963.8591323894682;4116.833687641667
2020;1;60;aeronautica_6889;14.374193548387098;11.63696575164795;963.8591323894682;4116.833687641667
1961;1;1;aeronautica_6891;NA;24.800743103027344;1023.9462536644774;4155.71266282768
1962;1;2;aeronautica_6891;NA;24.800743103027344;1023.9462536644774;4155.71266282768
1963;1;3;aeronautica_6891;NA;24.800743103027344;1023.9462536644774;4155.71266282768
1964;1;4;aeronautica_6891;16.5;24.800743103027344;1023.9462536644774;4155.71266282768
1965;1;5;aeronautica_6891;16.796666666666667;24.800743103027344;1023.9462536644774;4155.71266282768
1966;1;6;aeronautica_6891;16.929032258064517;24.800743103027344;1023.9462536644774;4155.71266282768
1967;1;7;aeronautica_6891;17.03548387096774;24.800743103027344;1023.9462536644774;4155.71266282768
1968;1;8;aeronautica_6891;16.096774193548388;24.800743103027344;1023.9462536644774;4155.71266282768
1969;1;9;aeronautica_6891;17.31935483870968;24.800743103027344;1023.9462536644774;4155.71266282768
1970;1;10;aeronautica_6891;17.76451612903226;24.800743103027344;1023.9462536644774;4155.71266282768
1971;1;11;aeronautica_6891;17.133333333333333;24.800743103027344;1023.9462536644774;4155.71266282768
1972;1;12;aeronautica_6891;16.729032258064517;24.800743103027344;1023.9462536644774;4155.71266282768
1973;1;13;aeronautica_6891;16.63225806451613;24.800743103027344;1023.9462536644774;4155.71266282768
